,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Bhaktapur,12.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",10.427333558717017
1,2016_01_01,2016-01-01-12-00,Bhaktapur,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}",10.558281479857104
2,2017_01_01,2017-01-01-12-00,Bhaktapur,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}",10.571043069603972
3,2018_01_01,2018-01-01-12-00,Bhaktapur,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}",10.301770480219533
4,2019_01_01,2019-01-01-12-00,Bhaktapur,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.50606251656112
5,2020_01_01,2020-01-01-12-00,Bhaktapur,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.36330327202287
6,2021_01_01,2021-01-01-12-00,Bhaktapur,13.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",9.342147662862546
