,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Dhanusha,12.000000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}",7.412163880772847
1,2016_01_01,2016-01-01-12-00,Dhanusha,12.000000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}",7.472942893877207
2,2017_01_01,2017-01-01-12-00,Dhanusha,12.000000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}",7.368723602189232
3,2018_01_01,2018-01-01-12-00,Dhanusha,12.000000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}",7.020298846708728
4,2019_01_01,2019-01-01-12-00,Dhanusha,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.0230340269532325
5,2020_01_01,2020-01-01-12-00,Dhanusha,12.000000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}",6.645233309364668
6,2021_01_01,2021-01-01-12-00,Dhanusha,12.000000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}",7.07319935079258
