,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Salyan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.5309674939845794
1,2016_01_01,2016-01-01-12-00,Salyan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.5366620875995647
2,2017_01_01,2017-01-01-12-00,Salyan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.6804299700856964
3,2018_01_01,2018-01-01-12-00,Salyan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.7473286105656407
4,2019_01_01,2019-01-01-12-00,Salyan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.840022001783246
5,2020_01_01,2020-01-01-12-00,Salyan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.912971267498061
6,2021_01_01,2021-01-01-12-00,Salyan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.670712270651107
