,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Humla,10.000000000000012,"{""type"":""MultiPoint"",""coordinates"":[]}",11.459626039895252
1,2016_01_01,2016-01-01-12-00,Humla,10.000000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}",11.44034256402584
2,2017_01_01,2017-01-01-12-00,Humla,10.000000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}",11.730875151773665
3,2018_01_01,2018-01-01-12-00,Humla,10.000000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}",11.701430082258973
4,2019_01_01,2019-01-01-12-00,Humla,10.000000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}",11.56728141131795
5,2020_01_01,2020-01-01-12-00,Humla,10.000000000000012,"{""type"":""MultiPoint"",""coordinates"":[]}",11.52857587043555
6,2021_01_01,2021-01-01-12-00,Humla,10.000000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}",11.512187421546798
