,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Morang,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.542963918803887
1,2016_01_01,2016-01-01-12-00,Morang,11.999999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}",9.534368265738923
2,2017_01_01,2017-01-01-12-00,Morang,11.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",9.353155231181052
3,2018_01_01,2018-01-01-12-00,Morang,11.999999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}",9.426907516465748
4,2019_01_01,2019-01-01-12-00,Morang,11.999999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}",9.49850340078889
5,2020_01_01,2020-01-01-12-00,Morang,11.999999999999988,"{""type"":""MultiPoint"",""coordinates"":[]}",9.88773855652107
6,2021_01_01,2021-01-01-12-00,Morang,11.999999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}",9.444510393598325
