,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Kaski,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",21.045272542475928
1,2016_01_01,2016-01-01-12-00,Kaski,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",20.519541943286125
2,2017_01_01,2017-01-01-12-00,Kaski,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",20.331842226789405
3,2018_01_01,2018-01-01-12-00,Kaski,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",20.01243982262871
4,2019_01_01,2019-01-01-12-00,Kaski,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",20.21941167187634
5,2020_01_01,2020-01-01-12-00,Kaski,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",20.459568371871715
6,2021_01_01,2021-01-01-12-00,Kaski,4.999999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}",20.17473789890365
