,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Pyuthan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.807666640905948
1,2016_01_01,2016-01-01-12-00,Pyuthan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.711440102490354
2,2017_01_01,2017-01-01-12-00,Pyuthan,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.852417966105669
3,2018_01_01,2018-01-01-12-00,Pyuthan,8.999999999999988,"{""type"":""MultiPoint"",""coordinates"":[]}",4.960051958390751
4,2019_01_01,2019-01-01-12-00,Pyuthan,8.999999999999991,"{""type"":""MultiPoint"",""coordinates"":[]}",4.936519584537701
5,2020_01_01,2020-01-01-12-00,Pyuthan,8.999999999999988,"{""type"":""MultiPoint"",""coordinates"":[]}",5.023545214821122
6,2021_01_01,2021-01-01-12-00,Pyuthan,8.999999999999991,"{""type"":""MultiPoint"",""coordinates"":[]}",4.9964817060452456
