,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Dang,5.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",8.299908425116191
1,2016_01_01,2016-01-01-12-00,Dang,5.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",8.38263439601377
2,2017_01_01,2017-01-01-12-00,Dang,5.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",8.50264816678799
3,2018_01_01,2018-01-01-12-00,Dang,5.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",8.433082773391101
4,2019_01_01,2019-01-01-12-00,Dang,5.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",8.641961302900823
5,2020_01_01,2020-01-01-12-00,Dang,5.000000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}",8.450462979190503
6,2021_01_01,2021-01-01-12-00,Dang,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.768282322794649
