,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Parbat,8.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",6.399167275604707
1,2016_01_01,2016-01-01-12-00,Parbat,8.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",6.214345981812879
2,2017_01_01,2017-01-01-12-00,Parbat,9.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",5.931836300595647
3,2018_01_01,2018-01-01-12-00,Parbat,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.949522952137859
4,2019_01_01,2019-01-01-12-00,Parbat,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.899563859349129
5,2020_01_01,2020-01-01-12-00,Parbat,8.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",6.13386469258867
6,2021_01_01,2021-01-01-12-00,Parbat,8.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",6.386173440643803
