,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Okhaldhunga,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.661845463155528
1,2016_01_01,2016-01-01-12-00,Okhaldhunga,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.555973138272352
2,2017_01_01,2017-01-01-12-00,Okhaldhunga,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.319649624534536
3,2018_01_01,2018-01-01-12-00,Okhaldhunga,9.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",8.312133849622072
4,2019_01_01,2019-01-01-12-00,Okhaldhunga,9.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",8.136265763855537
5,2020_01_01,2020-01-01-12-00,Okhaldhunga,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.004887935121808
6,2021_01_01,2021-01-01-12-00,Okhaldhunga,8.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.943482186606733
