,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Nuwakot,9.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",9.842213323620603
1,2016_01_01,2016-01-01-12-00,Nuwakot,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.800613522261855
2,2017_01_01,2017-01-01-12-00,Nuwakot,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.900477585381159
3,2018_01_01,2018-01-01-12-00,Nuwakot,8.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",9.718483570939027
4,2019_01_01,2019-01-01-12-00,Nuwakot,8.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",9.381184766811996
5,2020_01_01,2020-01-01-12-00,Nuwakot,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.614605750790645
6,2021_01_01,2021-01-01-12-00,Nuwakot,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.874949649423222
