,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Rukum East,9.999999999999991,"{""type"":""MultiPoint"",""coordinates"":[]}",9.251134261024779
1,2016_01_01,2016-01-01-12-00,Rukum East,9.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",9.027321189500594
2,2017_01_01,2017-01-01-12-00,Rukum East,9.999999999999991,"{""type"":""MultiPoint"",""coordinates"":[]}",9.138020950139971
3,2018_01_01,2018-01-01-12-00,Rukum East,9.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",8.961429607691999
4,2019_01_01,2019-01-01-12-00,Rukum East,9.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",8.852555624974643
5,2020_01_01,2020-01-01-12-00,Rukum East,9.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",8.851894940971233
6,2021_01_01,2021-01-01-12-00,Rukum East,9.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",8.989789849486794
