,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Mugu,10.00000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",11.515956094510615
1,2016_01_01,2016-01-01-12-00,Mugu,10.000000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}",11.48663002409853
2,2017_01_01,2017-01-01-12-00,Mugu,10.00000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",12.210692933100738
3,2018_01_01,2018-01-01-12-00,Mugu,10.00000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",12.094303236370793
4,2019_01_01,2019-01-01-12-00,Mugu,10.000000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}",12.290667397064471
5,2020_01_01,2020-01-01-12-00,Mugu,10.000000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}",12.509843699780276
6,2021_01_01,2021-01-01-12-00,Mugu,10.00000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",12.540840921612375
