,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Kailali,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.924738312031193
1,2016_01_01,2016-01-01-12-00,Kailali,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",9.825686357577199
2,2017_01_01,2017-01-01-12-00,Kailali,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",9.719986090453089
3,2018_01_01,2018-01-01-12-00,Kailali,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.57814706847581
4,2019_01_01,2019-01-01-12-00,Kailali,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.67944790452634
5,2020_01_01,2020-01-01-12-00,Kailali,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.758322000908098
6,2021_01_01,2021-01-01-12-00,Kailali,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.75419755447542
