,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Panchthar,4.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",7.838387359287398
1,2016_01_01,2016-01-01-12-00,Panchthar,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",7.861086178405486
2,2017_01_01,2017-01-01-12-00,Panchthar,4.9999999999999964,"{""type"":""MultiPoint"",""coordinates"":[]}",7.818641334985305
3,2018_01_01,2018-01-01-12-00,Panchthar,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",7.92096754855279
4,2019_01_01,2019-01-01-12-00,Panchthar,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",7.775935868413218
5,2020_01_01,2020-01-01-12-00,Panchthar,4.999999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}",7.837790351125531
6,2021_01_01,2021-01-01-12-00,Panchthar,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",7.31914225421738
