,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Makawanpur,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.899997592021927
1,2016_01_01,2016-01-01-12-00,Makawanpur,5.000000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}",6.844104888822055
2,2017_01_01,2017-01-01-12-00,Makawanpur,5.000000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}",6.863542547006862
3,2018_01_01,2018-01-01-12-00,Makawanpur,5.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",7.059872862136251
4,2019_01_01,2019-01-01-12-00,Makawanpur,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",6.941322457872364
5,2020_01_01,2020-01-01-12-00,Makawanpur,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.37300682225645
6,2021_01_01,2021-01-01-12-00,Makawanpur,5.000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",7.2074048873232135
