,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Sindhuli,5.000000000000006,"{""type"":""MultiPoint"",""coordinates"":[]}",6.770148304021983
1,2016_01_01,2016-01-01-12-00,Sindhuli,5.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",6.698782903818729
2,2017_01_01,2017-01-01-12-00,Sindhuli,5.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",6.677887502467714
3,2018_01_01,2018-01-01-12-00,Sindhuli,5.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",6.743681702146466
4,2019_01_01,2019-01-01-12-00,Sindhuli,5.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",6.650530105908243
5,2020_01_01,2020-01-01-12-00,Sindhuli,5.000000000000006,"{""type"":""MultiPoint"",""coordinates"":[]}",6.993779795741378
6,2021_01_01,2021-01-01-12-00,Sindhuli,5.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",6.643199294984821
