,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Dadeldhura,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.6628798130834435
1,2016_01_01,2016-01-01-12-00,Dadeldhura,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.639789178831682
2,2017_01_01,2017-01-01-12-00,Dadeldhura,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.442355980050957
3,2018_01_01,2018-01-01-12-00,Dadeldhura,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.6403235172592625
4,2019_01_01,2019-01-01-12-00,Dadeldhura,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.380351120668883
5,2020_01_01,2020-01-01-12-00,Dadeldhura,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.6717929937879585
6,2021_01_01,2021-01-01-12-00,Dadeldhura,5.000000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}",7.136540688536432
