,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Bardiya,4.9999999999999964,"{""type"":""MultiPoint"",""coordinates"":[]}",10.366516061951893
1,2016_01_01,2016-01-01-12-00,Bardiya,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",10.374348088936287
2,2017_01_01,2017-01-01-12-00,Bardiya,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",10.249314791247405
3,2018_01_01,2018-01-01-12-00,Bardiya,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",10.124264612484632
4,2019_01_01,2019-01-01-12-00,Bardiya,4.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",10.169970945745188
5,2020_01_01,2020-01-01-12-00,Bardiya,4.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",10.075186009479733
6,2021_01_01,2021-01-01-12-00,Bardiya,4.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",10.341023243541468
