,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Lalitpur,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.417803192101724
1,2016_01_01,2016-01-01-12-00,Lalitpur,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.745710607870384
2,2017_01_01,2017-01-01-12-00,Lalitpur,9.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",11.685805415710075
3,2018_01_01,2018-01-01-12-00,Lalitpur,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.11761548452652
4,2019_01_01,2019-01-01-12-00,Lalitpur,9.000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",10.926858422438604
5,2020_01_01,2020-01-01-12-00,Lalitpur,9.000000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}",11.135764513263783
6,2021_01_01,2021-01-01-12-00,Lalitpur,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",10.959701593382995
