,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Rolpa,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.665140073218193
1,2016_01_01,2016-01-01-12-00,Rolpa,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.654578041435255
2,2017_01_01,2017-01-01-12-00,Rolpa,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.728759419118223
3,2018_01_01,2018-01-01-12-00,Rolpa,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.861385205497062
4,2019_01_01,2019-01-01-12-00,Rolpa,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.910668968298142
5,2020_01_01,2020-01-01-12-00,Rolpa,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.9391131330815075
6,2021_01_01,2021-01-01-12-00,Rolpa,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",5.588074675571813
