,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Jajarkot,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.881374553803367
1,2016_01_01,2016-01-01-12-00,Jajarkot,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.946265087370543
2,2017_01_01,2017-01-01-12-00,Jajarkot,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.8921571724894894
3,2018_01_01,2018-01-01-12-00,Jajarkot,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.038824853567648
4,2019_01_01,2019-01-01-12-00,Jajarkot,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.717678351798968
5,2020_01_01,2020-01-01-12-00,Jajarkot,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.686778446646946
6,2021_01_01,2021-01-01-12-00,Jajarkot,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.645936699771805
