,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Kabhrepalanchok,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.10451493154265
1,2016_01_01,2016-01-01-12-00,Kabhrepalanchok,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.243145547501747
2,2017_01_01,2017-01-01-12-00,Kabhrepalanchok,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.447341230685534
3,2018_01_01,2018-01-01-12-00,Kabhrepalanchok,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.562481615217722
4,2019_01_01,2019-01-01-12-00,Kabhrepalanchok,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.251279429133916
5,2020_01_01,2020-01-01-12-00,Kabhrepalanchok,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.769053022962533
6,2021_01_01,2021-01-01-12-00,Kabhrepalanchok,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",11.79927246694769
