,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Udayapur,4.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.016402087158319
1,2016_01_01,2016-01-01-12-00,Udayapur,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",8.015419182339686
2,2017_01_01,2017-01-01-12-00,Udayapur,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",7.996057733662758
3,2018_01_01,2018-01-01-12-00,Udayapur,4.999999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}",8.037934336224017
4,2019_01_01,2019-01-01-12-00,Udayapur,4.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.011947961541555
5,2020_01_01,2020-01-01-12-00,Udayapur,4.9999999999999964,"{""type"":""MultiPoint"",""coordinates"":[]}",7.986443992744544
6,2021_01_01,2021-01-01-12-00,Udayapur,4.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",7.935775004043967
