,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Baitadi,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.199169113110246
1,2016_01_01,2016-01-01-12-00,Baitadi,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.29772326355812
2,2017_01_01,2017-01-01-12-00,Baitadi,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.265497460539598
3,2018_01_01,2018-01-01-12-00,Baitadi,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.336703674426753
4,2019_01_01,2019-01-01-12-00,Baitadi,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.384962048125401
5,2020_01_01,2020-01-01-12-00,Baitadi,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.242137305015143
6,2021_01_01,2021-01-01-12-00,Baitadi,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",3.0732201664513425
