,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Parasi,11.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.803922191280478
1,2016_01_01,2016-01-01-12-00,Parasi,11.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.723589143744894
2,2017_01_01,2017-01-01-12-00,Parasi,11.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.698669890136268
3,2018_01_01,2018-01-01-12-00,Parasi,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.456121823496327
4,2019_01_01,2019-01-01-12-00,Parasi,11.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.375019825195366
5,2020_01_01,2020-01-01-12-00,Parasi,11.999999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}",8.86727848553615
6,2021_01_01,2021-01-01-12-00,Parasi,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.17921976604127
