,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Dailekh,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.508174325069327
1,2016_01_01,2016-01-01-12-00,Dailekh,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.483842406194663
2,2017_01_01,2017-01-01-12-00,Dailekh,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.563566586755319
3,2018_01_01,2018-01-01-12-00,Dailekh,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.478031152895189
4,2019_01_01,2019-01-01-12-00,Dailekh,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.454670720705667
5,2020_01_01,2020-01-01-12-00,Dailekh,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.354454688596341
6,2021_01_01,2021-01-01-12-00,Dailekh,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",4.178148200741759
