,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Rukum West,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.157849069961532
1,2016_01_01,2016-01-01-12-00,Rukum West,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.108754428346102
2,2017_01_01,2017-01-01-12-00,Rukum West,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.901298555217184
3,2018_01_01,2018-01-01-12-00,Rukum West,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.86931361555549
4,2019_01_01,2019-01-01-12-00,Rukum West,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.792272745818512
5,2020_01_01,2020-01-01-12-00,Rukum West,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.799690744134332
6,2021_01_01,2021-01-01-12-00,Rukum West,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",6.788929674376424
