,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Ramechhap,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.160135560142617
1,2016_01_01,2016-01-01-12-00,Ramechhap,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.112517826984428
2,2017_01_01,2017-01-01-12-00,Ramechhap,9.000000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}",9.085931675736537
3,2018_01_01,2018-01-01-12-00,Ramechhap,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.923441752674046
4,2019_01_01,2019-01-01-12-00,Ramechhap,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.070686639144306
5,2020_01_01,2020-01-01-12-00,Ramechhap,8.999999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}",9.420220979545881
6,2021_01_01,2021-01-01-12-00,Ramechhap,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}",9.737061287295926
