,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Doti,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.235071290012836
1,2016_01_01,2016-01-01-12-00,Doti,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.255702842739456
2,2017_01_01,2017-01-01-12-00,Doti,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.077291053354408
3,2018_01_01,2018-01-01-12-00,Doti,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.262107972435986
4,2019_01_01,2019-01-01-12-00,Doti,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.998659382567728
5,2020_01_01,2020-01-01-12-00,Doti,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.005183762975244
6,2021_01_01,2021-01-01-12-00,Doti,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",7.7851286684258305
