,system:index,date,district,lc_mode,.geo,lc_var
0,2015_01_01,2015-01-01-12-00,Lamjung,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",15.014643437577428
1,2016_01_01,2016-01-01-12-00,Lamjung,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",14.913921543897299
2,2017_01_01,2017-01-01-12-00,Lamjung,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",14.962247109901645
3,2018_01_01,2018-01-01-12-00,Lamjung,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",14.76030188538013
4,2019_01_01,2019-01-01-12-00,Lamjung,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",14.93952309191086
5,2020_01_01,2020-01-01-12-00,Lamjung,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",14.914056957856927
6,2021_01_01,2021-01-01-12-00,Lamjung,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}",14.815047150000662
